repo_url,owner,repo,bugs,code_smells,vulnerabilities,security_hotspots,vuln_blocker,vuln_critical,vuln_major,vuln_minor,vuln_info,ncloc,files,functions
https://github.com/igor-ruivo/generic-auto-updater,igor-ruivo,generic-auto-updater,0,2,0,1,0,0,0,2,0,57,3,4
https://github.com/NilavPatel/dotnet-onion-architecture,nilavpatel,dotnet-onion-architecture,0,43,0,1,0,1,33,7,2,814,36,144
https://github.com/emilybache/SupermarketReceipt-Refactoring-Kata,emilybache,supermarketreceipt-refactoring-kata,4,44,0,0,0,9,19,8,12,1712,62,208
https://github.com/ulomaramma/repository-pattern,ulomaramma,repository-pattern,0,96,0,2,0,2,52,39,3,1912,38,194
https://github.com/prince272/nextsolution,prince272,nextsolution,7,280,0,17,0,23,56,104,104,9128,177,877
https://github.com/SaaStacked/saastack,saastacked,saastack,36,948,1,23,7,91,249,403,235,96916,1568,9337
https://github.com/hngprojects/hng_boilerplate_csharp_web,hngprojects,hng_boilerplate_csharp_web,9,287,0,5,0,8,67,115,106,17047,603,3044
https://github.com/VisionBling/clean-architecture,visionbling,clean-architecture,0,17,0,2,0,1,9,7,0,764,24,81
https://github.com/LethalCompanyCommunity/LethalCompanyTemplate,lethalcompanycommunity,lethalcompanytemplate,0,0,0,0,0,0,0,0,0,12,1,1
https://github.com/mohamedelareeg/CleanArchitecture,mohamedelareeg,cleanarchitecture,0,247,0,5,0,18,190,25,14,2993,94,365
https://github.com/TASVideos/tasvideos,tasvideos,tasvideos,48,982,0,21,6,67,608,293,56,49989,915,6402
https://github.com/YALCINCAN/NET6_Clean-OnionArchitectureAPI,yalcincan,net6_clean-onionarchitectureapi,0,27,0,9,0,0,12,10,5,2900,90,369
https://github.com/rijwanansari/CleanArchitectureDOTNET8BlazorWeb,rijwanansari,cleanarchitecturedotnet8blazorweb,0,98,0,0,2,7,53,29,7,3435,102,612
https://github.com/jernejk/AspNetCoreSerilogExample,jernejk,aspnetcoreserilogexample,0,9,0,1,0,0,6,2,1,153,4,11
https://github.com/night-moon-studio/Template,night-moon-studio,template,2,100,0,8,0,16,19,63,4,2818,39,419
https://github.com/Jaxelr/VueSimpleTemplate,jaxelr,vuesimpletemplate,4,2,0,0,0,0,5,1,0,224,14,8
https://github.com/gitpod-samples/template-dotnet-core-cli-csharp,gitpod-samples,template-dotnet-core-cli-csharp,0,2,0,1,0,0,2,0,0,12,2,1
https://github.com/martial-god/Benny-Scraper,martial-god,benny-scraper,1,419,4,5,1,24,244,98,57,4830,71,588
https://github.com/publicrust/rust-template,publicrust,rust-template,0,74,0,1,0,8,48,18,0,5839,10,360
https://github.com/dev-wasm/dev-wasm-dotnet,dev-wasm,dev-wasm-dotnet,1,52,0,3,0,3,11,19,20,265,4,40
https://github.com/kolappannathan/dotnet-web-api-boilerplate,kolappannathan,dotnet-web-api-boilerplate,0,58,1,0,0,1,24,20,14,1052,42,101
https://github.com/noamyogev84/ConcurrentPriorityQueue,noamyogev84,concurrentpriorityqueue,0,45,0,0,0,0,0,0,45,152,6,20
https://github.com/SkyAlumny/TTY-SPOOFER,skyalumny,tty-spoofer,0,226,0,8,0,27,163,33,3,1787,10,160
https://github.com/varianter/dotnet-template,varianter,dotnet-template,0,17,0,4,0,3,13,0,1,796,35,78
https://github.com/les-tontons-crafters/xtrem-tdd-money-kata,les-tontons-crafters,xtrem-tdd-money-kata,0,0,0,0,0,0,0,0,0,54,4,11
https://github.com/microsoft/onnxruntime-csharp-cv-template,microsoft,onnxruntime-csharp-cv-template,2,4,0,0,0,0,4,2,0,1103,5,7
https://github.com/jasonsturges/sqlite-dotnet-core,jasonsturges,sqlite-dotnet-core,0,10,0,0,0,1,5,0,4,129,5,12
https://github.com/BrosSquad/FastEndpoints.Template,brossquad,fastendpoints.template,0,4,0,2,0,0,2,0,2,137,8,25
https://github.com/malkamius/CrimsonStainedLands,malkamius,crimsonstainedlands,211,3458,1,51,22,318,1584,1421,325,813981,402,2538
https://github.com/bytlabs/BytLabs.MicroserviceTemplate,bytlabs,bytlabs.microservicetemplate,0,17,0,2,0,0,7,2,8,426,22,61
https://github.com/zamat/zamat-clean-architecture,zamat,zamat-clean-architecture,4,78,0,20,5,8,34,33,2,4587,231,522
https://github.com/klry/IviVisaNetSample,klry,ivivisanetsample,0,5,0,0,0,0,1,3,1,71,2,1
https://github.com/PHOENIXCONTACT/MORYX-Template,phoenixcontact,moryx-template,0,3,0,0,0,1,1,0,1,216,14,14
https://github.com/ElyasafCohen100/Investment-Advisor-Project,elyasafcohen100,investment-advisor-project,1,79,2,4,2,0,45,29,6,3174,67,289
https://github.com/NetCoreTemplates/selfhost,netcoretemplates,selfhost,0,5,0,0,0,0,2,1,2,52,4,8
https://github.com/AbdoMahfoz/ASP.NET-Core-WebAPI-Template,abdomahfoz,asp.net-core-webapi-template,6,86,3,4,2,20,36,31,6,3422,74,419
https://github.com/undrivendev/template-webapi-aspnet,undrivendev,template-webapi-aspnet,0,25,0,0,0,10,6,2,7,657,44,47
https://github.com/Azure-Samples/containerapps-albumapi-csharp,azure-samples,containerapps-albumapi-csharp,1,7,0,3,0,0,2,6,0,54,2,1
https://github.com/samjesus8/CSharp-Discord-Bot-Template-NET8,samjesus8,csharp-discord-bot-template-net8,0,11,0,0,0,0,9,1,1,83,3,16
https://github.com/ShadyNagy/ShadyNagy.ApiTemplate,shadynagy,shadynagy.apitemplate,0,89,0,2,2,9,56,18,4,2797,118,376
https://github.com/Measurity/ModTemplateValheim,measurity,modtemplatevalheim,0,1,0,0,0,0,0,1,0,158,2,13
https://github.com/SHAYANZAWAR/AutoDocX,shayanzawar,autodocx,0,85,0,1,0,4,21,48,12,1176,6,43
https://github.com/zobweyt/Discord.Net.Template,zobweyt,discord.net.template,0,11,0,0,0,0,1,3,7,309,21,35
https://github.com/VisionBling/Domain-Driven-Design,visionbling,domain-driven-design,0,27,0,0,0,0,26,1,0,158,8,102
https://github.com/8bitflynn/VDRIVE,8bitflynn,vdrive,2,364,0,13,4,10,195,65,92,4014,75,239
https://github.com/LegacyTemplates/mvcidentity,legacytemplates,mvcidentity,14,166,0,1,0,3,155,12,10,5753,84,214
https://github.com/Simofatt/onion-architecture,simofatt,onion-architecture,0,70,0,4,0,7,42,17,4,2399,56,294
https://github.com/stphnwlsh/CleanGraphQLApi,stphnwlsh,cleangraphqlapi,0,44,0,2,0,0,37,7,0,1236,68,155
