language,outcome,predictor,n,coef,IRR,IRR_CI_low,IRR_CI_high,p_raw,p_adj_bh_by_language,p_adj_bonf_by_language,sig_raw,sig_bh_by_language,sig_bonf_by_language,p_adj_bh_global,p_adj_bonf_global,sig_bh_global,sig_bonf_global,used_regularized
Python,vuln_critical,staleness_days,3356,-2.3271005021224215e-05,0.9999767292657465,0.9992936721421716,1.0006602532861377,0.9467811619734209,0.954775437931658,1.0,False,False,False,0.9764748797028321,1.0,False,False,False
Python,vuln_info,commits_last_12m,3356,-7.733753350492091e-06,0.9999922662765549,0.999972651199574,1.0000118817382975,0.43966849638713656,0.8479321001751919,1.0,False,False,False,0.5743556878872745,1.0,False,False,False
Python,vuln_info,log_forks,3356,0.06388678131706348,1.0659717040168077,0.8800851494827018,1.2911201540355397,0.5134679562229973,0.9069022392242697,1.0,False,False,False,0.6448202240939966,1.0,False,False,False
Python,vuln_info,log_stars,3356,-0.051523959350756376,0.9497808935560158,0.7734420872908941,1.1663235820586877,0.6229331550257995,0.9069022392242697,1.0,False,False,False,0.7475976399259603,1.0,False,False,False
Python,vuln_info,owner_is_org,3356,0.08744366898623801,1.0913807841253735,0.7282950229389189,1.6354800986440519,0.671779436462422,0.9069022392242697,1.0,False,False,False,0.781812275193336,1.0,False,False,False
Python,vuln_info,repo_age_days,3356,0.00015906004341683866,1.0001590726941363,0.9998781495896303,1.0004400747260502,0.267101643866513,0.6556131258541684,1.0,False,False,False,0.40065246579976954,1.0,False,False,False
Python,vuln_info,staleness_days,3356,8.218562227215088e-05,1.000082188999603,0.9993032529323015,1.0008617322313413,0.8362188201902828,0.954775437931658,1.0,False,False,False,0.9140853500055722,1.0,False,False,False
Python,vuln_major,commits_last_12m,3356,0.00020883187888981496,1.0002088536857845,0.9993467455936555,1.001071705494112,0.6350262222097203,0.9069022392242697,1.0,False,False,False,0.7586596460027631,1.0,False,False,False
Python,vuln_major,log_forks,3356,-0.06669285098867125,0.9354824897361819,0.810288226994391,1.0800199971424038,0.36291907576217597,0.7537550035060578,1.0,False,False,False,0.5025033356707052,1.0,False,False,False
Python,vuln_major,log_stars,3356,0.08334629045337016,1.0869181327587059,0.9308287213456791,1.2691819668088458,0.2920068938167275,0.6855814028740559,1.0,False,False,False,0.4261722234081969,1.0,False,False,False
Python,vuln_major,owner_is_org,3356,-0.21057735925277293,0.8101163827312059,0.5898191428917059,1.1126945632044227,0.19343526669492195,0.5497633895539887,1.0,False,False,False,0.32239211115820327,1.0,False,False,False
